Names,Village,Monthly Income,Family Members,Connected to grid,Why not connected to grid?,Electricity available per day(in hrs),Electrical appliances,Mobile Charger(Wh),5W LED Torch,10W LED Torch,5W LED Bulb(Wh),10W LED Bulb(Wh),45W Fan(Wh),55W TV(Wh),130W Fridge(Wh),Source of fuel for  cooking,Electric meter,Electric bill of last month,Power cuts per week,Voltage problems if any,Worst months for service from the grid,Household members affected,Serious problems you experience with grid electricity,How often you pay for electricity bill,Who do you pay,How do you make your payment,Household members die because of the grid electricity,Solar devices,Why no Solar?,Solar Usage (Months),Cost of Solar,Savings after installing a solar light,Willing to shift to solar applicanes,Rechargeable batteries,Use of batteries,Cost of rechargeable battery,Electricity source to recharge the battery,Did you use KEROSENE/FUEL-BASED /CANDLE LIGHTING,Fuel source for LAMP,How often the [FUEL TYPE] available,How many months does it rain,Maximum temperature in Summer,Minimum temperature in Winter,Why no solar?,Capacity(Wh),Units Monthly,Capacity Tier,Availabilty Tier,Reliability Tier,Quality Tier,Affordability Tier,Legality Tier,Health & Safety Tier,Tier Ranking
Karolyn Chow,Village 2,12666,7,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,LPG,Yes,160.42568,4,Electrical applicances getting affected,"['November', 'April', 'October']","['Could not charge a phone', 'Could not operate a household business']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Weekly,Pre-paid meter card seller,Pay at the utility office,No,Yes,Already using,1-3 months,652,1000,Already using,Yes,Lighting,338,Solar,No,Diesel,Rarely available,4,42,10,No subsidies are provided,260,7.8,2,0,4,3,5,5,5,0
David Droke,Village 4,3382,2,Yes,Already Connected,5,3,15,10,0,20,0,0,0,0,LPG,Yes,123.68906,20,No Problem,"['August', 'May', 'September']","['Could not cook', 'Machines/appliances were damaged']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Weekly,Community/village/municipality,Pay at the utility office,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1051,Shop,Yes,NA,NA,4,42,10,Low income,45,1.35,1,2,3,5,2,5,3,1
Cindy Sanders,Village 4,3358,2,No,Connection cost is very high,5,3,15,10,0,20,0,0,0,0,LPG,No,123.68906,20,Electrical applicances getting affected,"['August', 'June', 'January']","['Could not operate a household business', 'Children could not study']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Weekly,No one (for free),Cash,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1999,Shop,Yes,NA,NA,4,42,10,Low income,45,1.35,1,2,3,3,2,3,5,1
Steve Palmer,Village 3,14449,8,Yes,Already Connected,4,9,15,0,40,40,40,180,220,520,Kerosene,Yes,296.26574,16,No Problem,"['June', 'August', 'March']","['Could not charge a phone', 'Children could not study']","['Maintenance/service problems', 'Unexpectedly high bills']",Monthly,Pre-paid meter card seller,Pay at the utility office,Yes,Yes,Already using,3-6 months,1302,1472,Already using,Yes,Lighting,531,Solar,No,Kerosene,Sometimes available,4,42,10,Initial investment is high,1055,31.65,3,2,3,5,5,5,3,2
Patricia Anderson,Village 1,9239,4,No,Connection cost is very high,22,5,30,0,20,50,80,540,0,0,Kerosene,No,239.02496,8,Long Power Cuts,"['June', 'November', 'March']","['Could not cook', 'Could not operate a household business']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Online,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Biogas,Always available,4,42,10,No subsidies are provided,720,21.6,2,4,4,3,5,3,3,2
Suzanne Edmiston,Village 1,8478,4,No,Connection cost is very high,22,5,30,0,20,50,80,540,0,0,LPG,No,239.02496,8,Electrical applicances getting affected,"['April', 'August', 'December']","['Could not charge a phone', 'Could not cook']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Monthly,No one (for free),Pay at the utility office,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Diesel,Sometimes available,4,42,10,No subsidies are provided,720,21.6,2,4,4,3,5,3,3,2
Doris Stokes,Village 2,3315,3,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,994,Shop,Yes,NA,NA,4,42,10,Low income,0,0,0,0,5,3,2,5,3,0
Robin Gavin,Village 4,8003,5,No,Can't afford electricity bill,5,5,15,0,20,20,40,180,0,0,LPG,No,162.9887,20,Fluctuations,"['November', 'October', 'February']","['Could not operate a household business', 'Children could not study']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Weekly,No one (for free),Pay at the utility office,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Appliances,632,Shop,No,Biogas,Sometimes available,4,42,10,No subsidies are provided,275,8.25,2,2,3,3,5,3,5,2
David Toki,Village 3,6284,6,Yes,Already Connected,4,7,15,0,20,40,40,180,220,0,LPG,Yes,203.99702,16,Fluctuations,"['March', 'November', 'January']","['Machines/appliances were damaged', 'Could not cook']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Weekly,Community/village/municipality,Cash,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,802,Grid,No,Kerosene,Rarely available,4,42,10,Initial investment is high,515,15.45,2,2,3,3,5,5,5,2
Rosa Cantu,Village 1,9360,6,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,Kerosene,Yes,322.75028,8,Fluctuations,"['September', 'April', 'February']","['Could not operate a household business', 'Machines/appliances were damaged']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Monthly,Pre-paid meter card seller,Online,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Diesel,Sometimes available,4,42,10,No subsidies are provided,1210,36.3,3,4,4,3,5,5,3,3
Ronald Schubert,Village 4,9981,5,No,Connection cost is very high,5,5,15,0,20,20,40,180,0,0,LPG,No,162.9887,20,Fluctuations,"['February', 'March', 'June']","['Could not operate a household business', 'Machines/appliances were damaged']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Weekly,No one (for free),Online,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1827,Grid,No,Kerosene,Always available,4,42,10,No subsidies are provided,275,8.25,2,2,3,3,5,3,5,2
Mark Steller,Village 3,13937,7,Yes,Already Connected,4,7,15,0,20,40,40,180,220,0,Kerosene,Yes,203.99702,16,Fluctuations,"['December', 'August', 'March']","['Could not operate a household business', 'Could not charge a phone']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,Landlord,Pay at the utility office,No,Yes,Already using,1-3 months,1333,983,Already using,Yes,Lighting,1490,Solar,No,Kerosene,Always available,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,5,5,5,2
Joseph Ekmark,Village 1,12662,7,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Yes,Already using,3-6 months,1641,892,Already using,Yes,NA,NA,Shop,No,Diesel,Sometimes available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
Carlene Munoz,Village 3,4585,2,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1005,Shop,Yes,NA,NA,4,42,10,Low income,0,0,0,0,5,3,2,5,3,0
John Odaniel,Village 3,9123,5,No,Connection cost is very high,4,5,15,0,20,20,40,180,0,0,Kerosene,No,162.9887,16,Long Power Cuts,"['April', 'January', 'May']","['Could not operate a household business', 'Could not cook']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,No one (for free),Cash,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1467,Shop,No,Diesel,Always available,4,42,10,No subsidies are provided,275,8.25,2,2,3,3,5,3,5,2
Tiffani Grove,Village 3,10691,8,Yes,Already Connected,4,9,15,0,40,40,40,180,220,520,Kerosene,Yes,296.26574,16,Long Power Cuts,"['November', 'January', 'June']","['Could not charge a phone', 'Machines/appliances were damaged']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,Community/village/municipality,Online,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,587,Grid,No,Kerosene,Always available,4,42,10,Initial investment is high,1055,31.65,3,2,3,3,5,5,5,2
Susan Alberts,Village 1,4753,2,No,Can't afford electricity bill,22,3,30,10,0,50,0,0,0,0,LPG,No,131.37812,8,Electrical applicances getting affected,"['December', 'January', 'June']","['Could not charge a phone', 'Machines/appliances were damaged']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Monthly,No one (for free),Cash,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Diesel,Always available,4,42,10,Low income,90,2.7,1,4,4,3,2,3,5,1
Rafael Perez,Village 4,13103,7,Yes,Already Connected,5,7,15,0,20,40,40,180,220,0,Kerosene,Yes,203.99702,20,Electrical applicances getting affected,"['February', 'November', 'June']","['Children could not study', 'Could not operate a household business']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Weekly,Pre-paid meter card seller,Pay at the utility office,Yes,Yes,Already using,1-3 months,1365,811,Already using,Yes,Appliances,559,Solar,No,Kerosene,Rarely available,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,5,5,3,2
Angela Allmon,Village 2,14601,7,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,Kerosene,Yes,160.42568,4,Electrical applicances getting affected,"['January', 'March', 'February']","['Could not charge a phone', 'Children could not study']","['Maintenance/service problems', 'Unexpectedly high bills']",Weekly,Landlord,Cash,No,Yes,Already using,3-6 months,1857,1397,Already using,Yes,Lighting,1674,Solar,No,Biogas,Sometimes available,4,42,10,No subsidies are provided,260,7.8,2,0,4,3,5,5,5,0
Jay Gerard,Village 2,4339,2,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1341,Shop,Yes,NA,NA,4,42,10,Low income,0,0,0,0,5,3,2,5,3,0
Kay Thompson,Village 3,7074,4,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,LPG,Yes,162.9887,16,No Problem,"['October', 'May', 'June']","['Could not charge a phone', 'Machines/appliances were damaged']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Weekly,Landlord,Online,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1052,Shop,No,Diesel,Rarely available,4,42,10,Initial investment is high,275,8.25,2,2,3,5,5,5,3,2
Michael Silberman,Village 1,6943,6,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,LPG,Yes,322.75028,8,No Problem,"['December', 'April', 'October']","['Could not cook', 'Machines/appliances were damaged']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Weekly,Community/village/municipality,Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Diesel,Sometimes available,4,42,10,Initial investment is high,1210,36.3,3,4,4,5,5,5,3,3
Dustin Melendez,Village 2,14137,7,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,Kerosene,Yes,160.42568,4,Fluctuations,"['January', 'March', 'May']","['Children could not study', 'Could not cook']","['Unexpectedly high bills', 'Maintenance/service problems']",Monthly,Landlord,Cash,No,Yes,Already using,1-3 months,1317,1491,Already using,Yes,Lighting,1941,Solar,No,Diesel,Always available,4,42,10,No subsidies are provided,260,7.8,2,0,4,3,5,5,5,0
Joseph Mclauglin,Village 4,7370,6,No,Connection cost is very high,5,7,15,0,20,40,40,180,220,0,Kerosene,No,203.99702,20,No Problem,"['March', 'February', 'May']","['Machines/appliances were damaged', 'Could not operate a household business']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Weekly,No one (for free),Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1749,Shop,No,Kerosene,Always available,4,42,10,Initial investment is high,515,15.45,2,2,3,5,5,3,5,2
Sean Cregan,Village 1,9049,5,No,Can't afford electricity bill,22,5,30,0,20,50,80,540,0,0,Kerosene,No,239.02496,8,Electrical applicances getting affected,"['January', 'May', 'October']","['Could not operate a household business', 'Children could not study']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Weekly,No one (for free),Cash,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Kerosene,Always available,4,42,10,No subsidies are provided,720,21.6,2,4,4,3,5,3,3,2
Brenda Burt,Village 3,8768,5,No,Can't afford electricity bill,4,5,15,0,20,20,40,180,0,0,LPG,No,162.9887,16,Long Power Cuts,"['April', 'December', 'September']","['Machines/appliances were damaged', 'Could not operate a household business']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Monthly,No one (for free),Cash,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1668,Shop,No,Diesel,Always available,4,42,10,No subsidies are provided,275,8.25,2,2,3,3,5,3,5,2
Clifford Gough,Village 3,12211,7,Yes,Already Connected,4,7,15,0,20,40,40,180,220,0,LPG,Yes,203.99702,16,Electrical applicances getting affected,"['June', 'January', 'May']","['Could not cook', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Weekly,Landlord,Online,No,Yes,Already using,1-3 months,2427,1316,Already using,Yes,Appliances,1140,Solar,No,Kerosene,Rarely available,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,5,5,5,2
Jessica Thomas,Village 4,6744,5,No,Connection cost is very high,5,5,15,0,20,20,40,180,0,0,LPG,No,162.9887,20,Long Power Cuts,"['January', 'September', 'August']","['Machines/appliances were damaged', 'Could not cook']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Online,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1799,Grid,No,Kerosene,Sometimes available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,3,5,2
Gustavo Elrick,Village 2,6205,6,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,LPG,Yes,160.42568,4,Long Power Cuts,"['April', 'August', 'March']","['Could not cook', 'Machines/appliances were damaged']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,Pre-paid meter card seller,Pay at the utility office,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1920,Shop,No,Diesel,Rarely available,4,42,10,No subsidies are provided,260,7.8,2,0,4,3,2,5,3,0
Valerie Edelstein,Village 3,9222,4,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,LPG,Yes,162.9887,16,Fluctuations,"['December', 'April', 'November']","['Could not operate a household business', 'Children could not study']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Weekly,Landlord,Cash,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1473,Shop,No,Biogas,Always available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,5,5,2
Fannie Rodriguez,Village 3,3432,2,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1568,Shop,Yes,NA,NA,4,42,10,Low income,0,0,0,0,5,3,2,5,3,0
Barbara Nakasone,Village 1,10145,7,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,Kerosene,Yes,322.75028,8,Long Power Cuts,"['March', 'January', 'June']","['Could not cook', 'Could not operate a household business']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Weekly,Pre-paid meter card seller,Online,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Biogas,Sometimes available,4,42,10,Initial investment is high,1210,36.3,3,4,4,3,5,5,3,3
Lazaro Castorena,Village 2,9807,5,No,Can't afford electricity bill,3,5,10,0,10,10,20,90,0,0,Kerosene,No,139.92152,4,No Problem,"['May', 'August', 'November']","['Children could not study', 'Machines/appliances were damaged']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Monthly,No one (for free),Pay at the utility office,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1407,Shop,No,Diesel,Always available,4,42,10,Initial investment is high,140,4.2,1,0,4,5,5,3,5,0
Renaldo Iverson,Village 4,5830,5,Yes,Already Connected,5,5,15,0,20,20,40,180,0,0,Kerosene,Yes,162.9887,20,No Problem,"['April', 'June', 'December']","['Could not cook', 'Machines/appliances were damaged']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Monthly,Community/village/municipality,Pay at the utility office,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,218,Grid,Yes,NA,NA,4,42,10,No subsidies are provided,275,8.25,2,2,3,5,2,5,3,2
